SMILES,Odor,Stimulus,CID
CCCCCCCCCC(=O)Oc1ccccc1C,floral; phenolic; sweet,-389804435463,-389804435463
CC=CC1(C)CCOSC1(C)C,green; herbal; spicy; sulfurous; tropical,-382341259279,-382341259279
CCCSC(O)(CS)CCC,meaty; onion; sulfurous,-364029032463,-364029032463
CC(C)C=C(C=O)c1ccco1,green; herbal; oily; woody,-333456693241,-333456693241
CCCCC(C)C(C)(C)OC(=O)CC(C)C,floral; fruity; herbal; woody,-266093978319,-266093978319
CCCCCCCCC=CC=CC=CC=CC=O,fatty; oily,-259860539641,-259860539641
CCCC=CC(OCCCC)OCCCC,fruity; green; vegetable,-210999474125,-210999474125
CCC(=O)C(C)SSc1ccco1,meaty; nutty; sweet,-97585500558,-97585500558
CCCCCCCCC(S)C=O,citrus; fatty; tropical,-86422482515,-86422482515
CCC(=O)OC1(C)CCCCC1(C)C,fruity; herbal; mint; sweet,-70998382595,-70998382595
CC(CN)O,fishy,4,4
CCC(=O)C(=O)O,caramellic; creamy; fatty; sweet,58,58
C(C(=O)C(=O)O)S,cheesy; meaty; sulfurous,98,98
C1=CC(=CC(=C1)O)C=O,aromatic; medicinal; phenolic; sweet,101,101
C1=CC=C(C=C1)CCC(=O)O,balsamic; sweet,107,107
C1=CC(=CC=C1CO)O,fruity; medicinal; nutty; phenolic; sweet,125,125
C1=CC(=CC=C1C=O)O,almond; balsamic; hay; nutty; phenolic; woody,126,126
CC(C)CCC=O,cheesy; cocoa; fatty; fruity; herbal,129,129
C1=CC(=CC=C1C(=O)O)O,odorless,135,135
CC(=O)O,pungent; sour,176,176
CC=O,alcoholic; nutty; pungent,177,177
CC(C(=O)C)O,buttery; creamy,179,179
CC(=O)C,solvent,180,180
C(CCC(=O)O)CC(=O)O,odorless,196,196
CC(C(C(=O)O)N)O,sweet,205,205
C1=CC=C(C=C1)C=O,almond,240,240
C1=CC=C(C=C1)C(=O)O,balsamic,243,243
C1=CC=C(C=C1)CO,almond; fruity; sweet,244,244
CCCC=O,cocoa; fruity; green; malty,261,261
CCCCO,alcoholic; solvent; winey,263,263
CCCC(=O)O,buttery; cheesy; sour,264,264
C(=O)O,pungent,284,284
C1=CC=C(C(=C1)O)O,burnt; phenolic,289,289
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,odorless,311,311
CC(C)C1=CC=C(C=C1)CO,oily; spicy,325,325
CC(C)C1=CC=C(C=C1)C=O,green; herbal; pungent,326,326
COC1=C(C=CC(=C1)C=C)O,smoky; spicy; sweet,332,332
CC1=CC=CC=C1O,medicinal; phenolic,335,335
CC1=CC(=CC=C1)O,dry; leathery; medicinal; phenolic,342,342
CCCCCCCC,gasoline,356,356
CCCCCCCC(=O)O,animal; fatty,379,379
CC(CC(=O)O)O,cheesy; fruity,441,441
C(C(C(C(C(CO)O)O)O)O)O,odorless,453,453
CCCCCCCC=O,fatty; fruity,454,454
COC1=CC=CC=C1O,medicinal; phenolic; smoky; sweet; vanilla,460,460
CSCCC(=O)C(=O)O,cheesy; sulfurous,473,473
C(C(C(=O)O)O)C(=O)O,odorless,525,525
CCC=O,green,527,527
CSCCC(=O)O,cheesy; cocoa; fruity; green; roasted; sulfurous; tropical,563,563
C(C(C(=O)O)N)S,odorless,594,594
C(CC(=O)O)C(C(=O)O)N,odorless,611,611
CC(C(=O)O)O,buttery; sour,612,612
CC(=O)C(=O)C,buttery,650,650
C1CC(=O)OC2=CC=CC=C21,coumarinic; hay; nutty; sweet; tobacco,660,660
C(C(=O)CO)O,fruity; sweet,670,670
CNC,fishy,674,674
CCOC(=O)C(C)C(=O)C,apple; fruity; green; winey,701,701
CCO,alcoholic; ethereal; sweet,702,702
C(C(=O)O)O,odorless,757,757
C1=CC=C2C(=C1)C=CN2,animal; cheesy; floral,798,798
CC(C)CC(C(=O)O)N,odorless,857,857
C(C(C(=O)O)O)(C(=O)O)O,odorless,875,875
CSCCC(C(=O)O)N,sulfurous,876,876
CS,cabbage,878,878
CC(=O)C=O,pungent; sharp,880,880
C1=CC=C2C=CC=CC2=C1,camphoreous; dry; gasoline,931,931
CCCCCCCCO,orange; rose; sweet; waxy,957,957
C(C(=O)C(=O)O)O,burnt; buttery; creamy,964,964
CCCCCCCCCCCCCCCC=O,fatty; orris; waxy,984,984
CCCCCCCCCCCCCCCC(=O)O,odorless,985,985
CC1(COC(=O)C1O)C,bread; roasted; sweet,989,989
C1=CC=C(C=C1)CC(C(=O)O)N,chocolate; cocoa,994,994
C1=CC=C(C=C1)O,medicinal; phenolic,996,996
C1=CC=C(C=C1)CC(=O)C(=O)O,burnt; caramellic,997,997
C1=CC=C(C=C1)CC=O,floral; green; honey; rose,998,998
C1=CC=C(C=C1)CC(=O)O,animal; honey; sweet,999,999
C1=CC=C(C=C1)CCN,fishy,1001,1001
C1=CC=C(C(=C1)C(=O)O)C(=O)O,aromatic,1017,1017
CC(CO)O,odorless,1030,1030
CCCO,alcoholic; fermented; sweet,1031,1031
CCC(=O)O,milky; pungent; sour,1032,1032
C1=CC=NC=C1,burnt; fishy,1049,1049
CC(=O)C(=O)O,burnt; sour,1060,1060
CSC,cabbage; pungent; vegetable,1068,1068
C(CC(=O)O)C(=O)O,odorless,1110,1110
C1CCSC1,alliaceous; burnt; cabbage; meaty; sulfurous,1127,1127
C(C(=O)O)S,sulfurous,1133,1133
CC1=C(SC=N1)CCO,beefy; meaty; nutty,1136,1136
C[N+](C)(C)[O-],fishy,1145,1145
CN(C)C,fishy; pungent,1146,1146
CC(C)C(C(=O)O)N,odorless,1182,1182
COC1=C(C=CC(=C1)C=O)O,creamy; vanilla,1183,1183
CC1CCC(C(C1)O)C(C)C,mint; musty,1254,1254
C1=CC(=C(C=C1O)O)C(=O)O,odorless,1491,1491
C(CS)O,burnt; chicken; meaty,1567,1567
CC(=O)C1=CC(=C(C=C1)O)OC,sweet,2214,2214
C(CCCC(=O)O)CCCC(=O)O,odorless,2266,2266
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,balsamic; fruity; sweet,2345,2345
C1=CC=C(C=C1)CN=C=S,horseradish; pungent; radish; vegetable,2346,2346
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,odorless,2519,2519
CC1(C2CCC1(C(=O)C2)C)C,camphoreous; fresh; mint,2537,2537
CCCCCCCCCCCCCCCCO,odorless,2682,2682
CC1(C2CCC(O1)(CC2)C)C,camphoreous; fresh,2758,2758
CC1=CC=C(C=C1)O,animal; medicinal; phenolic; smoky,2879,2879
CCCCCCCCCC(=O)O,cheesy; dairy; fatty; waxy,2969,2969
CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,odorless,2998,2998
C(C(CS)S)O,sulfurous,3080,3080
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,rose,3102,3102
COC1=C(C=CC(=C1)CC=C)O,dry; pungent; smoky; spicy,3314,3314
C(CC=O)CC=O,apple; green,3485,3485
CC(C)C1=CC(=O)C(=CC=C1)O,phenolic; woody,3611,3611
CC(C)O,alcoholic,3776,3776
CCCCCCCCCCCC(=O)O,fatty; fresh; waxy,3893,3893
CC(=C)C(=O)O,pungent; sharp,4093,4093
COC(=O)C1=CC=CC=C1O,sweet; warm,4133,4133
COC1=CC(=CC2=C1OCO2)CC=C,spicy; woody,4276,4276
C1=CC=C(C=C1)CCCC(=O)O,floral; honey; sweet,4775,4775
C1CNCCN1,fishy,4837,4837
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,odorless,4947,4947
C1=CC(=CC(=C1)O)O,odorless,5054,5054
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,odorless,5143,5143
C=CCC1=CC2=C(C=C1)OCO2,aromatic; spicy,5144,5144
CCCCCCCCCCCCCCCCCC(=O)O,odorless,5281,5281
CN1C=NC2=C1C(=O)NC(=O)N2C,odorless,5429,5429
CC(=O)OCC(COC(=O)C)OC(=O)C,ethereal; fruity,5541,5541
C1=CC(=CC=C1CCN)O,cheesy; fishy; phenolic; ripe,5610,5610
C=CCCCCCCCCC(=O)O,fatty; oily; waxy,5634,5634
C1[C@H](CN[C@@H]1C(=O)O)O,odorless,5810,5810
C(CC(=O)N)[C@@H](C(=O)O)N,odorless,5961,5961
C=CCN=C=S,pungent,5971,5971
C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,sweet,5984,5984
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,sweet,5988,5988
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,buttery; creamy; fruity; sweet,6050,6050
C1=CC=C(C=C1)CCO,floral; rose,6054,6054
CSCC[C@@H](C(=O)O)N,meaty,6137,6137
C1=CC=C(C=C1)C[C@@H](C(=O)O)N,cocoa,6140,6140
CCCCCC=O,fatty; fruity; grassy; green,6184,6184
C(C(C(=O)O)S)C(=O)O,sulfurous,6268,6268
CCCCCO,alcoholic; solvent,6276,6276
CC[C@H](C)[C@@H](C(=O)O)N,odorless,6306,6306
CN,cheesy; fishy; ripe,6329,6329
CCN,cheesy; fishy; ripe,6341,6341
CCS,coffee; garlic; meaty; onion; sulfurous; tropical; vegetable,6343,6343
CC(C)N,cheesy; fishy,6363,6363
CC(C)S,brothy; chicken; meaty; onion; sulfurous,6364,6364
CC(C)(C)O,ethereal; fermented; musty,6386,6386
CC(C)(C)S,meaty; roasted; sulfurous; tropical,6387,6387
CCC(C)(C)O,alcoholic; camphoreous; ethereal; fermented; solvent,6405,6405
CC(C)(C)C(=O)O,cheesy; pungent; sour,6417,6417
CC(C)(C(C)(C)O)O,bread; ethereal; herbal; mint; woody,6425,6425
CC(=O)OC1CC2CCC1(C2(C)C)C,herbal; pine; sweet,6448,6448
C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,earthy; leathery; woody,6482,6482
CCC(C)(CC)O,camphoreous; earthy; fermented; fruity; green; leafy,6493,6493
CC(C)(OC)OC,ethereal; fresh; solvent,6495,6495
CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,fruity; strawberry; sweet,6501,6501
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,fruity; sweet; winey,6505,6505
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,fruity; plum; sweet; winey,6506,6506
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,odorless,6507,6507
C(CS)C(=O)O,meaty; roasted; sulfurous,6514,6514
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,floral; fruity; rose,6532,6532
CC1=CC(=O)CC(C1)(C)C,camphoreous; green; honey; mint; sharp; sweet; tobacco,6544,6544
CCC(C)(CCCC(C)C)O,floral; sweet,6548,6548
CC(=CCCC(C)(C=C)O)C,citrus; floral; woody,6549,6549
CC(=C)C=C,gasoline,6557,6557
CC(C)CN,cheesy; fishy; malty; ripe,6558,6558
CC(C)CO,fermented; sweet,6560,6560
CC(C)C=O,banana; cheesy; chocolate; fruity; green,6561,6561
CCC(C)O,alcoholic; fermented; oily; solvent; winey,6568,6568
CCC(=O)C,camphoreous; fruity; ketonic; solvent; sweet,6569,6569
CC(=O)C=C,ethereal; gasoline; pungent; sharp; sweet,6570,6570
CC(=O)OC,ethereal; fruity; sweet,6584,6584
CC(C)C(=O)O,cheesy; fruity; sour,6590,6590
CC1(C2CCC(C2)C1=C)C,camphoreous; oily; sweet,6616,6616
CC1CCC(CC1)C(C)(C)OC(=O)C,citrus; fresh; fruity; herbal; pine; woody,6631,6631
CC1(CCC(CC1)C(C)(C)O)O,balsamic; camphoreous; pine,6651,6651
CC1=CCC2CC1C2(C)C,pine,6654,6654
CC(=C)C(=O)OC,apple; fruity; grape; sharp,6658,6658
CC1=CNC2=CC=CC=C12,animal; floral; fruity,6736,6736
CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],floral; musk; sweet,6753,6753
CNC1=CC=CC=C1C(=O)OC,floral; musty; orange; sweet,6826,6826
CC(C)COC(=O)C1=CC=CC=C1O,floral; herbal; sweet,6873,6873
CC(C)CCOC(=O)C1=CC=CC=C1O,balsamic; floral; green; herbal; sweet,6874,6874
CCOC(=O)C1=CC=CC=C1N,fruity; grape; green; sweet,6877,6877
C1C2=CC=CC=C2C(=O)O1,almond; coumarinic; hay; sweet,6885,6885
CCC(CC)C(=O)O,dairy; earthy; fruity; nutty,6915,6915
C1=COC(=C1)C(=O)O,odorless,6919,6919
CC1=CC(=C(C=C1)C(C)(C)C)O,burnt; dry; leathery; smoky; woody,6937,6937
CC(C)C1=CC=CC=C1O,medicinal; phenolic; smoky; spicy,6943,6943
CC1CCC(=C(C)C)CC2=C1CCC2C,balsamic; sweet; woody,6949,6949
CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,odorless,6970,6970
CC1=CC(=C(C=C1)C(=O)C)C,coumarinic; floral; hay; mint; sharp; sweet; woody,6985,6985
CC1=CC(=O)C(CC1)C(C)C,fresh; herbal; mint,6987,6987
CC1=CC(=C(C=C1)C(C)C)O,herbal; medicinal; phenolic; spicy; sweet,6989,6989
CCC1=CC=CC=C1O,phenolic; sweet,6997,6997
C1=CC=C(C(=C1)C=O)O,almond; phenolic; pungent; spicy,6998,6998
CC1=CC=CC2=CC=CC=C12,earthy; green; medicinal; musty,7002,7002
C1=CC=C(C=C1)C2=CC=CC=C2O,medicinal; phenolic; spicy,7017,7017
COC1=C(C(=CC=C1)OC)O,medicinal; phenolic; smoky; woody,7041,7041
COC1=CC=CC=C1OC,creamy; earthy; musty; nutty; phenolic; sweet; vanilla,7043,7043
C1=CC=C2C(=C1)N=CC=N2,burnt,7045,7045
C1=CC=C2C(=C1)C=CC=N2,animal; musty; sweet; tobacco,7047,7047
CC1=CC2=CC=CC=C2C=C1,aromatic; oily,7055,7055
C1=CC=C2C=C(C=CC2=C1)S,meaty; mushroom; sulfurous,7058,7058
CC1=CC2=C(C=C1)N=CC=C2,animal; floral; sweet; tobacco; woody,7059,7059
CC1=NC2=CC=CC=C2C=C1,fishy; herbal; oily; tobacco,7060,7060
CC1=CC2=C(C=C1)OC(=O)C=C2,coconut; coumarinic,7092,7092
C1=CC=C(C=C1)C2=CC=CC=C2,metallic; rose,7095,7095
COC1=C(C=C(C=C1)CO)OC,aromatic; vanilla,7118,7118
COC1=CC2=CC=CC=C2C=C1,floral; orange; sweet,7119,7119
CC(=O)C1=CC2=CC=CC=C2C=C1,orange; sweet,7122,7122
COC1=C(C=C(C=C1)CC=C)OC,herbal; musty; spicy; tea,7127,7127
CCOC1=CC2=CC=CC=C2C=C1,floral,7129,7129
CC(C)CC1=NC2=CC=CC=C2C=C1,earthy; leathery,7130,7130
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,balsamic; fruity; spicy; sweet,7136,7136
CC1=CC(=C(C=C1)O)OC,phenolic; smoky; spicy; sweet; vanilla,7144,7144
CC(C=O)C1=CC=CC=C1,floral; green; honey,7146,7146
CCC(C1=CC=CC=C1)O,balsamic; floral; rose,7147,7147
CCC(=O)C1=CC=CC=C1,cherry; floral; fruity; hay,7148,7148
COC(=O)C1=CC=CC=C1,floral; fruity; sweet,7150,7150
COC(=O)C1=CN=CC=C1,herbal; sweet; tobacco,7151,7151
CCOC(=O)C1=CC=CC=C1,floral; fruity,7165,7165
CC(=O)CC(=O)C1=CC=CC=C1,balsamic; sweet; vanilla,7166,7166
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,balsamic; floral; fruity; green; metallic,7169,7169
CCOC(=O)CC(=O)C1=CC=CC=C1,brandy; cherry; fruity,7170,7170
CCCOC(=O)C1=CC=C(C=C1)O,odorless,7175,7175
CCCCOC(=O)C1=CC=C(C=C1)O,odorless,7184,7184
CC(C)CCOC(=O)C1=CC=CC=C1,balsamic; fruity; green; sweet; waxy,7193,7193
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,balsamic; floral; honey; rose,7194,7194
C1=CC=C2C(=C1)C=CS2,burnt; earthy; gasoline; sulfurous,7221,7221
C1=CC=C2C(=C1)N=CS2,beefy; burnt; coffee; sulfurous; vegetable,7222,7222
CC1=CC2=CC=CC=C2N1,animal,7224,7224
CC1=NC2=CC=CC=C2O1,burnt; floral; pungent; sweet; tobacco; vanilla,7225,7225
CC1=C(C=C(C=C1)O)C,dry,7249,7249
CC1=CC(=C(C=C1)C)O,phenolic; smoky,7267,7267
CCOC(=O)C(=O)OCC,fermented; fruity; herbal; musk; winey,7268,7268
CCC(C)C=O,cocoa; fermented; fruity; green; malty,7284,7284
CCC(=O)CC,caramellic; cheesy; ethereal; fruity,7288,7288
COC(=O)C=C,chamomile; pungent,7294,7294
C1CCC(C1)O,alcoholic; ethereal; fermented; solvent,7298,7298
CC1CCCO1,mint; solvent; sweet,7301,7301
C1CC(=O)OC1,buttery; caramellic; nutty,7302,7302
CN1C=CC=C1,animal; herbal; smoky; sweet; woody,7304,7304
CC1=CCC(CC1OC(=O)C)C(=C)C,fruity; green; herbal; sour; sweet,7335,7335
CCC(=O)OC1CC(CC=C1C)C(=C)C,fruity; mint; sweet; warm,7336,7336
CCCC(C)C(=O)O,cheesy; creamy; dairy; pungent; sour,7341,7341
CCOC(=O)C(C)C,apple; ethereal; fruity; rum; sweet,7342,7342
CCOC(=O)C(=C)C,apple; chamomile; pungent,7343,7343
CCOC(=O)C(C)O,buttery; ethereal; rum,7344,7344
CC(C)COC(=O)C(C)C,banana; fruity; pineapple; sweet; tropical; winey,7351,7351
CC(C)COC(=O)C(=C)C,chamomile; pungent,7352,7352
CCCCOC(=O)C(C)C,fruity,7353,7353
CCCCOC(=O)C(=C)C,ethereal; fruity; herbal; sweet,7354,7354
CCC(CC)CO,alcoholic; fermented; solvent,7358,7358
CCC(CC)C=O,caramellic; cocoa; fresh; fruity; green; pungent,7359,7359
C1CC(OC1)CO,caramellic; fruity; oily; solvent,7360,7360
C1=COC(=C1)C=O,almond; bread; caramellic; spicy; sweet,7362,7362
C1=COC(=C1)CS,alliaceous; burnt; caramellic; coffee,7363,7363
C1=CSC(=C1)C=O,coconut; nutty,7364,7364
CC(C)(C)C1CCC(CC1)O,camphoreous; dry; leathery; woody,7391,7391
CC(C)(C)C1CCC(=O)CC1,camphoreous; dry; mint,7392,7392
CC(C)(C)C1=CC=C(C=C1)O,leathery; phenolic,7393,7393
CC(=C)C1=CC=CC=C1,herbal,7407,7407
CC(C1=CC=CC=C1)O,earthy; floral; green; rose,7409,7409
CC(=O)C1=CC=CC=C1,cherry; pungent; sweet,7410,7410
C1CCC(CC1)C(=O)O,cheesy; fruity,7413,7413
CC1=CCC(CC1O)C(=C)C,sweet,7438,7438
CC1=CC=C(C=C1)C(=O)OC,anisic; floral; fruity; sweet,7455,7455
CC1=CCC(C=C1)C(C)C,citrus; fresh; mint; spicy; woody,7460,7460
CC1=CCC(=CC1)C(C)C,citrus; fresh; herbal,7461,7461
CC1=CC=C(CC1)C(C)C,citrus; fresh; lemon,7462,7462
CC1=CC=C(C=C1)C(C)C,citrus,7463,7463
CC(C)C1=CC=C(C=C1)O,medicinal; phenolic,7465,7465
CC(=O)C1=CC=C(C=C1)O,balsamic; floral; fruity; hay; herbal; woody,7469,7469
CC(=O)C1=CC=C(C=C1)OC,floral; hay; sweet,7476,7476
COC1=CC=C(C=C1)C(=O)O,cherry; spicy; sweet,7478,7478
C=CC1=CC=CC=C1,balsamic; gasoline; pungent,7501,7501
C1=CC=C(C=C1)C#N,almond; cherry,7505,7505
C1=CC=C(C=C1)CS,garlic; onion,7509,7509
COC1=CC=CC=C1,anisic; sweet,7519,7519
CSC1=CC=CC=C1,coffee; meaty; roasted; sulfurous; woody,7520,7520
CCC1=CC=CC=N1,fishy; grassy; green; smoky,7523,7523
CC1(OCC(O1)CO)C,fruity; solvent,7528,7528
CC1=CC(=CC=C1)OC,dry; floral; nutty; pungent,7530,7530
CC(C)(CC1=CC=CC=C1)O,floral; fresh; herbal; rose,7531,7531
COC(=O)CC1=CC=CC=C1,floral; honey; sweet,7559,7559
C1COC(O1)CC2=CC=CC=C2,green; sweet; waxy,7562,7562
C1=CC=C(C=C1)CC2=CC=CC=C2,leafy; metallic; rose,7580,7580
C1=CC=C(C=C1)OC2=CC=CC=C2,floral; green; metallic,7583,7583
CCOC(=O)CC1=CC=CC=C1,honey; sweet,7590,7590
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,almond; floral; fruity; honey; sweet,7593,7593
COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,balsamic; honey; rose,7599,7599
CC(C)CCOC(=O)CC1=CC=CC=C1,balsamic; cocoa; floral; fruity; honey; sweet,7600,7600
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,balsamic; floral; honey; rose,7601,7601
CCCN(CCC)CCC,cheesy; fishy; ripe,7616,7616
CCCCN(CCCC)CCCC,animal; cheesy; fishy; ripe,7622,7622
CC(C)(CCC1=CC=CC=C1)O,floral; green; herbal; sweet,7632,7632
CC(=O)OC(C)(C)CCC1=CC=CC=C1,balsamic; floral; fresh; fruity; green,7633,7633
CCCCC(CC)COC(=O)C,fruity; herbal; sweet,7635,7635
COC(=O)CCC1=CC=CC=C1,cinnamon; floral; fruity; spicy; sweet,7643,7643
CC(C)C(=O)OCC1=CC=CC=C1,floral; fruity,7646,7646
CCCC(=O)OCC1=CC=CC=C1,apricot; floral; fruity; plum,7650,7650
CC(C)CC(=O)OCC1=CC=CC=C1,apple; cheesy; fruity; herbal; tobacco,7651,7651
CC(=O)OCCC1=CC=CC=C1,fruity; honey; rose; sweet,7654,7654
CC(C)C(=O)OCCC1=CC=CC=C1,floral; fruity; honey; rose,7655,7655
C1=CC=C(C=C1)COCC2=CC=CC=C2,almond; earthy; mushroom; rose; sweet,7657,7657
CCCC(=O)OCCC1=CC=CC=C1,floral; fruity; green; musty; rose,7658,7658
CC(C)C(=O)OCCCC1=CC=CC=C1,balsamic; fruity; spicy; sweet,7662,7662
CCOC1=CC=CC=C1,anisic; sweet,7674,7674
CC(=O)CC1=CC=CC=C1,fruity; green; sharp,7678,7678
CC1=CC=C(C=C1)OC(=O)C(C)C,animal; fruity; warm,7685,7685
CC(C)C1=CC=C(C=C1)C(C)CC=O,floral; green; vegetable,7687,7687
CC(=O)OCC1=CC=C(C=C1)OC,balsamic; cherry; coumarinic; floral; fruity; vanilla,7695,7695
CCCC1=CC=C(C=C1)OC,anisic; herbal; sweet,7702,7702
CCCCC1CCC(=O)O1,coconut; coumarinic; sweet,7704,7704
C1=CC=C(C=C1)CCC=O,balsamic; floral; green,7707,7707
C1=CC=C(C=C1)COC=O,cherry; fresh; fruity,7708,7708
C1=CC=C(C=C1)CCOC=O,green; herbal; rose,7711,7711
CCCCC(CC)CO,fermented; oily; rose; sweet,7720,7720
CC1=CC=C(C=C1)C=O,almond; cherry; sweet,7725,7725
CCC1=CN=C(C=C1)C,earthy; fatty; green; nutty; potato,7728,7728
CC1=CC=C(C=C1)OC,floral; green; leathery; nutty; phenolic; sharp; sweet,7731,7731
CC(C)COC(=O)CCC1=CC=CO1,brandy; fruity; pineapple; rum; winey,7733,7733
COC1=CC=C(C=C1)CO,anisic; balsamic; coumarinic; creamy; floral; fruity; sweet; vanilla,7738,7738
CCCC1CCC(=O)O1,coconut; coumarinic; hay,7742,7742
CCCC(C)CO,alcoholic; ethereal; fermented; solvent; sweet,7745,7745
CCC(=O)OCC,ethereal; fruity; rum,7749,7749
CCC(C)CC(=O)O,cheesy,7755,7755
CC(=O)CC(=O)OC,apple; brandy; fruity; green; winey,7757,7757
CCC(C)OC(=O)C,banana; ethereal; fruity; pear; sweet,7758,7758
CCOC(=O)CC(=O)OCC,apple; fruity; green; sweet,7761,7761
CCCC(=O)OCC,banana; buttery; ethereal; fruity; pineapple; ripe,7762,7762
CCOC(C)OCC,alcoholic; fruity; green,7765,7765
CCOC(=O)OCC,ethereal; fresh,7766,7766
C1CCC(=O)NCC1,animal; fishy; spicy,7768,7768
CCCC(=O)OCCC,fruity; sweet,7770,7770
CC1=CC(=C(C=C1)O)C,burnt; phenolic; sharp,7771,7771
CCC(=O)OCCC(C)C,apricot; banana; fruity; pineapple; plum; sweet; tropical,7772,7772
CCCCCC(=O)OCC(C)C,fruity; pineapple; winey,7775,7775
CC(CCC=C(C)C)CCOC=O,fruity; green; leafy; rose,7778,7778
CCC(=O)OCCC(C)CCCC(=C)C,floral; rose; sweet,7781,7781
CCCOC(=O)CCCCC(=O)OCCC,odorless; solvent,7790,7790
CC(C)CCCC(C)CCO,rose; sweet; waxy,7792,7792
C[C@@H](CCC=C(C)C)CCO,citrus; floral; fruity; green; rose; sweet,7793,7793
CCCC(=O)OCCC(C)C,fruity,7795,7795
CCCCCCC(=O)OCC,cognac; fruity; winey,7797,7797
CCCCCCCC(=O)OCC,fruity; sweet; winey,7799,7799
CCCCCCCCCCCC(=O)OCC,fatty; floral; fruity; oily; waxy,7800,7800
CCCCC(=O)CC,banana; fatty; fruity; green,7802,7802
CCCOC(=O)CC,ethereal; fruity; rum,7803,7803
COC(=O)CCC(=O)OC,ethereal; fruity; green; winey,7820,7820
CCC(C)CC(=O)CC,fruity; herbal; ketonic,7822,7822
CCCCCC(=O)OC,apple; ethereal; fruity; pineapple,7824,7824
CCCCCCC(=O)OC,apple; berry; fruity; green; orris; waxy,7826,7826
