SMILES,Odor,Stimulus,CID
CCCCCCCCCC(=O)Oc1ccccc1C,floral; phenolic; sweet,-389804435463,-389804435463
CC=CC1(C)CCOSC1(C)C,green; herbal; spicy; sulfurous; tropical,-382341259279,-382341259279
CCCSC(O)(CS)CCC,meaty; onion; sulfurous,-364029032463,-364029032463
CC(C)C=C(C=O)c1ccco1,green; herbal; oily; woody,-333456693241,-333456693241
CCCCC(C)C(C)(C)OC(=O)CC(C)C,floral; fruity; herbal; woody,-266093978319,-266093978319
CCCCCCCCC=CC=CC=CC=CC=O,fatty; oily,-259860539641,-259860539641
CCCC=CC(OCCCC)OCCCC,fruity; green; vegetable,-210999474125,-210999474125
CCC(=O)C(C)SSc1ccco1,meaty; nutty; sweet,-97585500558,-97585500558
CCCCCCCCC(S)C=O,citrus; fatty; tropical,-86422482515,-86422482515
CCC(=O)OC1(C)CCCCC1(C)C,fruity; herbal; mint; sweet,-70998382595,-70998382595
CC(O)CN,fishy,4,4
CCC(=O)C(=O)O,caramellic; creamy; fatty; sweet,58,58
O=C(O)C(=O)CS,cheesy; meaty; sulfurous,98,98
O=Cc1cccc(O)c1,aromatic; medicinal; phenolic; sweet,101,101
O=C(O)CCc1ccccc1,balsamic; sweet,107,107
OCc1ccc(O)cc1,fruity; medicinal; nutty; phenolic; sweet,125,125
O=Cc1ccc(O)cc1,almond; balsamic; hay; nutty; phenolic; woody,126,126
CC(C)CCC=O,cheesy; cocoa; fatty; fruity; herbal,129,129
O=C(O)c1ccc(O)cc1,odorless,135,135
CC(=O)O,pungent; sour,176,176
CC=O,alcoholic; nutty; pungent,177,177
CC(=O)C(C)O,buttery; creamy,179,179
CC(C)=O,solvent,180,180
O=C(O)CCCCC(=O)O,odorless,196,196
CC(O)C(N)C(=O)O,sweet,205,205
O=Cc1ccccc1,almond,240,240
O=C(O)c1ccccc1,balsamic,243,243
OCc1ccccc1,almond; fruity; sweet,244,244
CCCC=O,cocoa; fruity; green; malty,261,261
CCCCO,alcoholic; solvent; winey,263,263
CCCC(=O)O,buttery; cheesy; sour,264,264
O=CO,pungent,284,284
Oc1ccccc1O,burnt; phenolic,289,289
O=C(O)CC(O)(CC(=O)O)C(=O)O,odorless,311,311
CC(C)c1ccc(CO)cc1,oily; spicy,325,325
CC(C)c1ccc(C=O)cc1,green; herbal; pungent,326,326
C=Cc1ccc(O)c(OC)c1,smoky; spicy; sweet,332,332
Cc1ccccc1O,medicinal; phenolic,335,335
Cc1cccc(O)c1,dry; leathery; medicinal; phenolic,342,342
CCCCCCCC,gasoline,356,356
CCCCCCCC(=O)O,animal; fatty,379,379
CC(O)CC(=O)O,cheesy; fruity,441,441
OCC(O)C(O)C(O)C(O)CO,odorless,453,453
CCCCCCCC=O,fatty; fruity,454,454
COc1ccccc1O,medicinal; phenolic; smoky; sweet; vanilla,460,460
CSCCC(=O)C(=O)O,cheesy; sulfurous,473,473
O=C(O)CC(O)C(=O)O,odorless,525,525
CCC=O,green,527,527
CSCCC(=O)O,cheesy; cocoa; fruity; green; roasted; sulfurous; tropical,563,563
NC(CS)C(=O)O,odorless,594,594
NC(CCC(=O)O)C(=O)O,odorless,611,611
CC(O)C(=O)O,buttery; sour,612,612
CC(=O)C(C)=O,buttery,650,650
O=C1CCc2ccccc2O1,coumarinic; hay; nutty; sweet; tobacco,660,660
O=C(CO)CO,fruity; sweet,670,670
CNC,fishy,674,674
CCOC(=O)C(C)C(C)=O,apple; fruity; green; winey,701,701
CCO,alcoholic; ethereal; sweet,702,702
O=C(O)CO,odorless,757,757
c1ccc2[nH]ccc2c1,animal; cheesy; floral,798,798
CC(C)CC(N)C(=O)O,odorless,857,857
O=C(O)C(O)C(O)C(=O)O,odorless,875,875
CSCCC(N)C(=O)O,sulfurous,876,876
CS,cabbage,878,878
CC(=O)C=O,pungent; sharp,880,880
c1ccc2ccccc2c1,camphoreous; dry; gasoline,931,931
CCCCCCCCO,orange; rose; sweet; waxy,957,957
O=C(O)C(=O)CO,burnt; buttery; creamy,964,964
CCCCCCCCCCCCCCCC=O,fatty; orris; waxy,984,984
CCCCCCCCCCCCCCCC(=O)O,odorless,985,985
CC1(C)COC(=O)C1O,bread; roasted; sweet,989,989
NC(Cc1ccccc1)C(=O)O,chocolate; cocoa,994,994
Oc1ccccc1,medicinal; phenolic,996,996
O=C(O)C(=O)Cc1ccccc1,burnt; caramellic,997,997
O=CCc1ccccc1,floral; green; honey; rose,998,998
O=C(O)Cc1ccccc1,animal; honey; sweet,999,999
NCCc1ccccc1,fishy,1001,1001
O=C(O)c1ccccc1C(=O)O,aromatic,1017,1017
CC(O)CO,odorless,1030,1030
CCCO,alcoholic; fermented; sweet,1031,1031
CCC(=O)O,milky; pungent; sour,1032,1032
c1ccncc1,burnt; fishy,1049,1049
CC(=O)C(=O)O,burnt; sour,1060,1060
CSC,cabbage; pungent; vegetable,1068,1068
O=C(O)CCC(=O)O,odorless,1110,1110
C1CCSC1,alliaceous; burnt; cabbage; meaty; sulfurous,1127,1127
O=C(O)CS,sulfurous,1133,1133
Cc1ncsc1CCO,beefy; meaty; nutty,1136,1136
C[N+](C)(C)[O-],fishy,1145,1145
CN(C)C,fishy; pungent,1146,1146
CC(C)C(N)C(=O)O,odorless,1182,1182
COc1cc(C=O)ccc1O,creamy; vanilla,1183,1183
CC1CCC(C(C)C)C(O)C1,mint; musty,1254,1254
O=C(O)c1ccc(O)cc1O,odorless,1491,1491
OCCS,burnt; chicken; meaty,1567,1567
COc1cc(C(C)=O)ccc1O,sweet,2214,2214
O=C(O)CCCCCCCC(=O)O,odorless,2266,2266
O=C(OCc1ccccc1)c1ccccc1,balsamic; fruity; sweet,2345,2345
S=C=NCc1ccccc1,horseradish; pungent; radish; vegetable,2346,2346
Cn1c(=O)c2c(ncn2C)n(C)c1=O,odorless,2519,2519
CC12CCC(CC1=O)C2(C)C,camphoreous; fresh; mint,2537,2537
CCCCCCCCCCCCCCCCO,odorless,2682,2682
CC12CCC(CC1)C(C)(C)O2,camphoreous; fresh,2758,2758
Cc1ccc(O)cc1,animal; medicinal; phenolic; smoky,2879,2879
CCCCCCCCCC(=O)O,cheesy; dairy; fatty; waxy,2969,2969
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,odorless,2998,2998
OCC(S)CS,sulfurous,3080,3080
O=C(c1ccccc1)c1ccccc1,rose,3102,3102
C=CCc1ccc(O)c(OC)c1,dry; pungent; smoky; spicy,3314,3314
O=CCCCC=O,apple; green,3485,3485
CC(C)c1cccc(O)c(=O)c1,phenolic; woody,3611,3611
CC(C)O,alcoholic,3776,3776
CCCCCCCCCCCC(=O)O,fatty; fresh; waxy,3893,3893
C=C(C)C(=O)O,pungent; sharp,4093,4093
COC(=O)c1ccccc1O,sweet; warm,4133,4133
C=CCc1cc(OC)c2c(c1)OCO2,spicy; woody,4276,4276
O=C(O)CCCc1ccccc1,floral; honey; sweet,4775,4775
C1CNCCN1,fishy,4837,4837
CCCOC(=O)c1cc(O)c(O)c(O)c1,odorless,4947,4947
Oc1cccc(O)c1,odorless,5054,5054
O=C1NS(=O)(=O)c2ccccc21,odorless,5143,5143
C=CCc1ccc2c(c1)OCO2,aromatic; spicy,5144,5144
CCCCCCCCCCCCCCCCCC(=O)O,odorless,5281,5281
Cn1cnc2c1c(=O)[nH]c(=O)n2C,odorless,5429,5429
CC(=O)OCC(COC(C)=O)OC(C)=O,ethereal; fruity,5541,5541
NCCc1ccc(O)cc1,cheesy; fishy; phenolic; ripe,5610,5610
C=CCCCCCCCCC(=O)O,fatty; oily; waxy,5634,5634
O=C(O)[C@@H]1C[C@@H](O)CN1,odorless,5810,5810
NC(=O)CC[C@H](N)C(=O)O,odorless,5961,5961
C=CCN=C=S,pungent,5971,5971
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,sweet,5984,5984
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,sweet,5988,5988
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,buttery; creamy; fruity; sweet,6050,6050
OCCc1ccccc1,floral; rose,6054,6054
CSCC[C@H](N)C(=O)O,meaty,6137,6137
N[C@@H](Cc1ccccc1)C(=O)O,cocoa,6140,6140
CCCCCC=O,fatty; fruity; grassy; green,6184,6184
O=C(O)CC(S)C(=O)O,sulfurous,6268,6268
CCCCCO,alcoholic; solvent,6276,6276
CC[C@H](C)[C@H](N)C(=O)O,odorless,6306,6306
CN,cheesy; fishy; ripe,6329,6329
CCN,cheesy; fishy; ripe,6341,6341
CCS,coffee; garlic; meaty; onion; sulfurous; tropical; vegetable,6343,6343
CC(C)N,cheesy; fishy,6363,6363
CC(C)S,brothy; chicken; meaty; onion; sulfurous,6364,6364
CC(C)(C)O,ethereal; fermented; musty,6386,6386
CC(C)(C)S,meaty; roasted; sulfurous; tropical,6387,6387
CCC(C)(C)O,alcoholic; camphoreous; ethereal; fermented; solvent,6405,6405
CC(C)(C)C(=O)O,cheesy; pungent; sour,6417,6417
CC(C)(O)C(C)(C)O,bread; ethereal; herbal; mint; woody,6425,6425
CC(=O)OC1CC2CCC1(C)C2(C)C,herbal; pine; sweet,6448,6448
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,earthy; leathery; woody,6482,6482
CCC(C)(O)CC,camphoreous; earthy; fermented; fruity; green; leafy,6493,6493
COC(C)(C)OC,ethereal; fresh; solvent,6495,6495
CCOC(=O)C1OC1(C)c1ccccc1,fruity; strawberry; sweet,6501,6501
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,fruity; sweet; winey,6505,6505
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,fruity; plum; sweet; winey,6506,6506
CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,odorless,6507,6507
O=C(O)CCS,meaty; roasted; sulfurous,6514,6514
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,floral; fruity; rose,6532,6532
CC1=CC(=O)CC(C)(C)C1,camphoreous; green; honey; mint; sharp; sweet; tobacco,6544,6544
CCC(C)(O)CCCC(C)C,floral; sweet,6548,6548
C=CC(C)(O)CCC=C(C)C,citrus; floral; woody,6549,6549
C=CC(=C)C,gasoline,6557,6557
CC(C)CN,cheesy; fishy; malty; ripe,6558,6558
CC(C)CO,fermented; sweet,6560,6560
CC(C)C=O,banana; cheesy; chocolate; fruity; green,6561,6561
CCC(C)O,alcoholic; fermented; oily; solvent; winey,6568,6568
CCC(C)=O,camphoreous; fruity; ketonic; solvent; sweet,6569,6569
C=CC(C)=O,ethereal; gasoline; pungent; sharp; sweet,6570,6570
COC(C)=O,ethereal; fruity; sweet,6584,6584
CC(C)C(=O)O,cheesy; fruity; sour,6590,6590
C=C1C2CCC(C2)C1(C)C,camphoreous; oily; sweet,6616,6616
CC(=O)OC(C)(C)C1CCC(C)CC1,citrus; fresh; fruity; herbal; pine; woody,6631,6631
CC1(O)CCC(C(C)(C)O)CC1,balsamic; camphoreous; pine,6651,6651
CC1=CCC2CC1C2(C)C,pine,6654,6654
C=C(C)C(=O)OC,apple; fruity; grape; sharp,6658,6658
Cc1c[nH]c2ccccc12,animal; floral; fruity,6736,6736
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],floral; musk; sweet,6753,6753
CNc1ccccc1C(=O)OC,floral; musty; orange; sweet,6826,6826
CC(C)COC(=O)c1ccccc1O,floral; herbal; sweet,6873,6873
CC(C)CCOC(=O)c1ccccc1O,balsamic; floral; green; herbal; sweet,6874,6874
CCOC(=O)c1ccccc1N,fruity; grape; green; sweet,6877,6877
O=C1OCc2ccccc21,almond; coumarinic; hay; sweet,6885,6885
CCC(CC)C(=O)O,dairy; earthy; fruity; nutty,6915,6915
O=C(O)c1ccco1,odorless,6919,6919
Cc1ccc(C(C)(C)C)c(O)c1,burnt; dry; leathery; smoky; woody,6937,6937
CC(C)c1ccccc1O,medicinal; phenolic; smoky; spicy,6943,6943
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,balsamic; sweet; woody,6949,6949
CC1CCC(C(C)C)C(OC(=O)c2ccccc2O)C1,odorless,6970,6970
CC(=O)c1ccc(C)cc1C,coumarinic; floral; hay; mint; sharp; sweet; woody,6985,6985
CC1=CC(=O)C(C(C)C)CC1,fresh; herbal; mint,6987,6987
Cc1ccc(C(C)C)c(O)c1,herbal; medicinal; phenolic; spicy; sweet,6989,6989
CCc1ccccc1O,phenolic; sweet,6997,6997
O=Cc1ccccc1O,almond; phenolic; pungent; spicy,6998,6998
Cc1cccc2ccccc12,earthy; green; medicinal; musty,7002,7002
Oc1ccccc1-c1ccccc1,medicinal; phenolic; spicy,7017,7017
COc1cccc(OC)c1O,medicinal; phenolic; smoky; woody,7041,7041
COc1ccccc1OC,creamy; earthy; musty; nutty; phenolic; sweet; vanilla,7043,7043
c1ccc2nccnc2c1,burnt,7045,7045
c1ccc2ncccc2c1,animal; musty; sweet; tobacco,7047,7047
Cc1ccc2ccccc2c1,aromatic; oily,7055,7055
Sc1ccc2ccccc2c1,meaty; mushroom; sulfurous,7058,7058
Cc1ccc2ncccc2c1,animal; floral; sweet; tobacco; woody,7059,7059
Cc1ccc2ccccc2n1,fishy; herbal; oily; tobacco,7060,7060
Cc1ccc2oc(=O)ccc2c1,coconut; coumarinic,7092,7092
c1ccc(-c2ccccc2)cc1,metallic; rose,7095,7095
COc1ccc(CO)cc1OC,aromatic; vanilla,7118,7118
COc1ccc2ccccc2c1,floral; orange; sweet,7119,7119
CC(=O)c1ccc2ccccc2c1,orange; sweet,7122,7122
C=CCc1ccc(OC)c(OC)c1,herbal; musty; spicy; tea,7127,7127
CCOc1ccc2ccccc2c1,floral,7129,7129
CC(C)Cc1ccc2ccccc2n1,earthy; leathery,7130,7130
C=CCc1ccc(OC(C)=O)c(OC)c1,balsamic; fruity; spicy; sweet,7136,7136
COc1cc(C)ccc1O,phenolic; smoky; spicy; sweet; vanilla,7144,7144
CC(C=O)c1ccccc1,floral; green; honey,7146,7146
CCC(O)c1ccccc1,balsamic; floral; rose,7147,7147
CCC(=O)c1ccccc1,cherry; floral; fruity; hay,7148,7148
COC(=O)c1ccccc1,floral; fruity; sweet,7150,7150
COC(=O)c1cccnc1,herbal; sweet; tobacco,7151,7151
CCOC(=O)c1ccccc1,floral; fruity,7165,7165
CC(=O)CC(=O)c1ccccc1,balsamic; sweet; vanilla,7166,7166
O=C(Oc1ccccc1)c1ccccc1,balsamic; floral; fruity; green; metallic,7169,7169
CCOC(=O)CC(=O)c1ccccc1,brandy; cherry; fruity,7170,7170
CCCOC(=O)c1ccc(O)cc1,odorless,7175,7175
CCCCOC(=O)c1ccc(O)cc1,odorless,7184,7184
CC(C)CCOC(=O)c1ccccc1,balsamic; fruity; green; sweet; waxy,7193,7193
O=C(OCCc1ccccc1)c1ccccc1,balsamic; floral; honey; rose,7194,7194
c1ccc2sccc2c1,burnt; earthy; gasoline; sulfurous,7221,7221
c1ccc2scnc2c1,beefy; burnt; coffee; sulfurous; vegetable,7222,7222
Cc1cc2ccccc2[nH]1,animal,7224,7224
Cc1nc2ccccc2o1,burnt; floral; pungent; sweet; tobacco; vanilla,7225,7225
Cc1ccc(O)cc1C,dry,7249,7249
Cc1ccc(C)c(O)c1,phenolic; smoky,7267,7267
CCOC(=O)C(=O)OCC,fermented; fruity; herbal; musk; winey,7268,7268
CCC(C)C=O,cocoa; fermented; fruity; green; malty,7284,7284
CCC(=O)CC,caramellic; cheesy; ethereal; fruity,7288,7288
C=CC(=O)OC,chamomile; pungent,7294,7294
OC1CCCC1,alcoholic; ethereal; fermented; solvent,7298,7298
CC1CCCO1,mint; solvent; sweet,7301,7301
O=C1CCCO1,buttery; caramellic; nutty,7302,7302
Cn1cccc1,animal; herbal; smoky; sweet; woody,7304,7304
C=C(C)C1CC=C(C)C(OC(C)=O)C1,fruity; green; herbal; sour; sweet,7335,7335
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,fruity; mint; sweet; warm,7336,7336
CCCC(C)C(=O)O,cheesy; creamy; dairy; pungent; sour,7341,7341
CCOC(=O)C(C)C,apple; ethereal; fruity; rum; sweet,7342,7342
C=C(C)C(=O)OCC,apple; chamomile; pungent,7343,7343
CCOC(=O)C(C)O,buttery; ethereal; rum,7344,7344
CC(C)COC(=O)C(C)C,banana; fruity; pineapple; sweet; tropical; winey,7351,7351
C=C(C)C(=O)OCC(C)C,chamomile; pungent,7352,7352
CCCCOC(=O)C(C)C,fruity,7353,7353
C=C(C)C(=O)OCCCC,ethereal; fruity; herbal; sweet,7354,7354
CCC(CC)CO,alcoholic; fermented; solvent,7358,7358
CCC(C=O)CC,caramellic; cocoa; fresh; fruity; green; pungent,7359,7359
OCC1CCCO1,caramellic; fruity; oily; solvent,7360,7360
O=Cc1ccco1,almond; bread; caramellic; spicy; sweet,7362,7362
SCc1ccco1,alliaceous; burnt; caramellic; coffee,7363,7363
O=Cc1cccs1,coconut; nutty,7364,7364
CC(C)(C)C1CCC(O)CC1,camphoreous; dry; leathery; woody,7391,7391
CC(C)(C)C1CCC(=O)CC1,camphoreous; dry; mint,7392,7392
CC(C)(C)c1ccc(O)cc1,leathery; phenolic,7393,7393
C=C(C)c1ccccc1,herbal,7407,7407
CC(O)c1ccccc1,earthy; floral; green; rose,7409,7409
CC(=O)c1ccccc1,cherry; pungent; sweet,7410,7410
O=C(O)C1CCCCC1,cheesy; fruity,7413,7413
C=C(C)C1CC=C(C)C(O)C1,sweet,7438,7438
COC(=O)c1ccc(C)cc1,anisic; floral; fruity; sweet,7455,7455
CC1=CCC(C(C)C)C=C1,citrus; fresh; mint; spicy; woody,7460,7460
CC1=CCC(C(C)C)=CC1,citrus; fresh; herbal,7461,7461
CC1=CC=C(C(C)C)CC1,citrus; fresh; lemon,7462,7462
Cc1ccc(C(C)C)cc1,citrus,7463,7463
CC(C)c1ccc(O)cc1,medicinal; phenolic,7465,7465
CC(=O)c1ccc(O)cc1,balsamic; floral; fruity; hay; herbal; woody,7469,7469
COc1ccc(C(C)=O)cc1,floral; hay; sweet,7476,7476
COc1ccc(C(=O)O)cc1,cherry; spicy; sweet,7478,7478
C=Cc1ccccc1,balsamic; gasoline; pungent,7501,7501
N#Cc1ccccc1,almond; cherry,7505,7505
SCc1ccccc1,garlic; onion,7509,7509
COc1ccccc1,anisic; sweet,7519,7519
CSc1ccccc1,coffee; meaty; roasted; sulfurous; woody,7520,7520
CCc1ccccn1,fishy; grassy; green; smoky,7523,7523
CC1(C)OCC(CO)O1,fruity; solvent,7528,7528
COc1cccc(C)c1,dry; floral; nutty; pungent,7530,7530
CC(C)(O)Cc1ccccc1,floral; fresh; herbal; rose,7531,7531
COC(=O)Cc1ccccc1,floral; honey; sweet,7559,7559
c1ccc(CC2OCCO2)cc1,green; sweet; waxy,7562,7562
c1ccc(Cc2ccccc2)cc1,leafy; metallic; rose,7580,7580
c1ccc(Oc2ccccc2)cc1,floral; green; metallic,7583,7583
CCOC(=O)Cc1ccccc1,honey; sweet,7590,7590
O=C(Cc1ccccc1)Cc1ccccc1,almond; floral; fruity; honey; sweet,7593,7593
COc1ccc(COC(=O)Cc2ccccc2)cc1,balsamic; honey; rose,7599,7599
CC(C)CCOC(=O)Cc1ccccc1,balsamic; cocoa; floral; fruity; honey; sweet,7600,7600
O=C(Cc1ccccc1)OCCc1ccccc1,balsamic; floral; honey; rose,7601,7601
CCCN(CCC)CCC,cheesy; fishy; ripe,7616,7616
CCCCN(CCCC)CCCC,animal; cheesy; fishy; ripe,7622,7622
CC(C)(O)CCc1ccccc1,floral; green; herbal; sweet,7632,7632
CC(=O)OC(C)(C)CCc1ccccc1,balsamic; floral; fresh; fruity; green,7633,7633
CCCCC(CC)COC(C)=O,fruity; herbal; sweet,7635,7635
COC(=O)CCc1ccccc1,cinnamon; floral; fruity; spicy; sweet,7643,7643
CC(C)C(=O)OCc1ccccc1,floral; fruity,7646,7646
CCCC(=O)OCc1ccccc1,apricot; floral; fruity; plum,7650,7650
CC(C)CC(=O)OCc1ccccc1,apple; cheesy; fruity; herbal; tobacco,7651,7651
CC(=O)OCCc1ccccc1,fruity; honey; rose; sweet,7654,7654
CC(C)C(=O)OCCc1ccccc1,floral; fruity; honey; rose,7655,7655
c1ccc(COCc2ccccc2)cc1,almond; earthy; mushroom; rose; sweet,7657,7657
CCCC(=O)OCCc1ccccc1,floral; fruity; green; musty; rose,7658,7658
CC(C)C(=O)OCCCc1ccccc1,balsamic; fruity; spicy; sweet,7662,7662
CCOc1ccccc1,anisic; sweet,7674,7674
CC(=O)Cc1ccccc1,fruity; green; sharp,7678,7678
Cc1ccc(OC(=O)C(C)C)cc1,animal; fruity; warm,7685,7685
CC(C)c1ccc(C(C)CC=O)cc1,floral; green; vegetable,7687,7687
COc1ccc(COC(C)=O)cc1,balsamic; cherry; coumarinic; floral; fruity; vanilla,7695,7695
CCCc1ccc(OC)cc1,anisic; herbal; sweet,7702,7702
CCCCC1CCC(=O)O1,coconut; coumarinic; sweet,7704,7704
O=CCCc1ccccc1,balsamic; floral; green,7707,7707
O=COCc1ccccc1,cherry; fresh; fruity,7708,7708
O=COCCc1ccccc1,green; herbal; rose,7711,7711
CCCCC(CC)CO,fermented; oily; rose; sweet,7720,7720
Cc1ccc(C=O)cc1,almond; cherry; sweet,7725,7725
CCc1ccc(C)nc1,earthy; fatty; green; nutty; potato,7728,7728
COc1ccc(C)cc1,floral; green; leathery; nutty; phenolic; sharp; sweet,7731,7731
CC(C)COC(=O)CCc1ccco1,brandy; fruity; pineapple; rum; winey,7733,7733
COc1ccc(CO)cc1,anisic; balsamic; coumarinic; creamy; floral; fruity; sweet; vanilla,7738,7738
CCCC1CCC(=O)O1,coconut; coumarinic; hay,7742,7742
CCCC(C)CO,alcoholic; ethereal; fermented; solvent; sweet,7745,7745
CCOC(=O)CC,ethereal; fruity; rum,7749,7749
CCC(C)CC(=O)O,cheesy,7755,7755
COC(=O)CC(C)=O,apple; brandy; fruity; green; winey,7757,7757
CCC(C)OC(C)=O,banana; ethereal; fruity; pear; sweet,7758,7758
CCOC(=O)CC(=O)OCC,apple; fruity; green; sweet,7761,7761
CCCC(=O)OCC,banana; buttery; ethereal; fruity; pineapple; ripe,7762,7762
CCOC(C)OCC,alcoholic; fruity; green,7765,7765
CCOC(=O)OCC,ethereal; fresh,7766,7766
O=C1CCCCCN1,animal; fishy; spicy,7768,7768
CCCOC(=O)CCC,fruity; sweet,7770,7770
Cc1ccc(O)c(C)c1,burnt; phenolic; sharp,7771,7771
CCC(=O)OCCC(C)C,apricot; banana; fruity; pineapple; plum; sweet; tropical,7772,7772
CCCCCC(=O)OCC(C)C,fruity; pineapple; winey,7775,7775
CC(C)=CCCC(C)CCOC=O,fruity; green; leafy; rose,7778,7778
C=C(C)CCCC(C)CCOC(=O)CC,floral; rose; sweet,7781,7781
CCCOC(=O)CCCCC(=O)OCCC,odorless; solvent,7790,7790
CC(C)CCCC(C)CCO,rose; sweet; waxy,7792,7792
CC(C)=CCC[C@H](C)CCO,citrus; floral; fruity; green; rose; sweet,7793,7793
CCCC(=O)OCCC(C)C,fruity,7795,7795
CCCCCCC(=O)OCC,cognac; fruity; winey,7797,7797
CCCCCCCC(=O)OCC,fruity; sweet; winey,7799,7799
CCCCCCCCCCCC(=O)OCC,fatty; floral; fruity; oily; waxy,7800,7800
CCCCC(=O)CC,banana; fatty; fruity; green,7802,7802
CCCOC(=O)CC,ethereal; fruity; rum,7803,7803
COC(=O)CCC(=O)OC,ethereal; fruity; green; winey,7820,7820
CCC(=O)CC(C)CC,fruity; herbal; ketonic,7822,7822
CCCCCC(=O)OC,apple; ethereal; fruity; pineapple,7824,7824
CCCCCCC(=O)OC,apple; berry; fruity; green; orris; waxy,7826,7826
COC(=O)CCCCCCCCC(=O)OC,ethereal; fruity,7829,7829
C=CC=O,alliaceous; herbal; pungent; sharp,7847,7847
CCCS,cabbage; meaty; onion; sulfurous,7848,7848
CCCN,cheesy; fishy,7852,7852
C=CCO,pungent; sharp,7858,7858
O=CC=O,burnt; caramellic,7860,7860
COC=O,ethereal; fresh; rum; warm; winey,7865,7865
CC(CC=O)CCCC(C)(C)O,floral; sweet,7888,7888
CC(C)CCN,cheesy,7894,7894
CCCC(C)=O,banana; dairy; ethereal; fruity; ketonic; rum,7895,7895
COCC(C)O,ethereal; sweet,7900,7900
CC(=O)CC(C)C,ethereal; fruity; green; sweet,7909,7909
CC(C)CC(C)O,alcoholic; fermented; green; oily; solvent; winey,7910,7910
CC(=O)OC(C)C,ethereal; fruity; sharp,7915,7915
C=C(C)OC(C)=O,cognac; ethereal; fruity; rum,7916,7916
CC1CCC(=O)O1,coumarinic; hay; sweet,7921,7921
Cc1ccnc(C)c1,animal; fishy; green; mint; phenolic; smoky,7936,7936
Cc1cccc(C)n1,cocoa; coffee; green; herbal; musty; nutty,7937,7937
Cc1cncc(C)n1,chocolate; potato; roasted,7938,7938
COC(=O)CC(=O)OC,apple; ethereal; fruity; green,7943,7943
CCOC(=O)CC(C)C,apple; banana; buttery; fruity; winey,7945,7945
Cc1cc(C)cc(O)c1,orris; phenolic; spicy; woody,7948,7948
Cc1cc(C)nc(C)c1,animal; fishy; green; leathery; musty; tobacco,7953,7953
CC(C)CC(O)CC(C)C,fermented; fruity; green; sweet; winey,7957,7957
